startup_name,industry,original_ask_amount,total_deal_amount,number_of_sharks_in_deal,total_deal_equity,number_of_presenters,funded_flag
SuperBolter,Lifestyle/Home,75.0,,,,1,False
HiveSchool,Children/Education,60.0,,,,3,False
Tintbox,Lifestyle/Home,70.0,,,,2,False
EasyRugs,Lifestyle/Home,35.0,35.0,2.0,5.0,2,True
StylesTry,Beauty/Fashion,50.0,,,,2,False
Quitci,Lifestyle/Home,50.0,,,,2,False
FitFeast,Food and Beverage,100.0,100.0,2.0,18.0,1,True
TheBearHouse,Beauty/Fashion,300.0,100.0,1.0,1.0,2,True
UrbanAnimal,Animal/Pets,45.0,,,,2,False
Nooky,Lifestyle/Home,60.0,,,,2,False
Subculture,Beauty/Fashion,50.0,,,,1,False
Woodsmen,Liquor/Alcohol,150.0,,,,1,False
BhavisyaPlast,Green/CleanTech,50.0,200.0,4.0,10.0,1,True
Ecoil,Green/CleanTech,100.0,50.0,2.0,1.0,2,True
Rescript,Green/CleanTech,100.0,,,,2,False
TickleYourArt,Others,21.3,21.3,2.0,7.0,3,True
Symbionic,Medical/Health,80.0,40.0,1.0,1.0,2,True
XLCinema,Entertainment,150.0,,,,2,False
